=================================
Running configuration:
Model: Linknet
Aug Multiplier: 4
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313220_18
Train size after augmentation: 7332
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7174
Epoch 2: Train Dice Loss=0.6195
Epoch 3: Train Dice Loss=0.5617
Epoch 4: Train Dice Loss=0.5542
Epoch 5: Train Dice Loss=0.5191
Epoch 6: Train Dice Loss=0.5041
Epoch 7: Train Dice Loss=0.4956
Epoch 8: Train Dice Loss=0.4814
Epoch 9: Train Dice Loss=0.4711
Epoch 10: Train Dice Loss=0.4669
Epoch 11: Train Dice Loss=0.4614
Epoch 12: Train Dice Loss=0.4550
Epoch 13: Train Dice Loss=0.4475
Epoch 14: Train Dice Loss=0.4435
Epoch 15: Train Dice Loss=0.4314
Epoch 16: Train Dice Loss=0.4266
Epoch 17: Train Dice Loss=0.4199
Epoch 18: Train Dice Loss=0.4191
Epoch 19: Train Dice Loss=0.4127
Epoch 20: Train Dice Loss=0.3968
Epoch 21: Train Dice Loss=0.4054
Epoch 22: Train Dice Loss=0.3967
Epoch 23: Train Dice Loss=0.3878
Epoch 24: Train Dice Loss=0.3820
Epoch 25: Train Dice Loss=0.3797
Epoch 26: Train Dice Loss=0.3674
Epoch 27: Train Dice Loss=0.3633
Epoch 28: Train Dice Loss=0.3589
Epoch 29: Train Dice Loss=0.3507
Epoch 30: Train Dice Loss=0.3460
Epoch 31: Train Dice Loss=0.3553
Epoch 32: Train Dice Loss=0.3393
Epoch 33: Train Dice Loss=0.3330
Epoch 34: Train Dice Loss=0.3415
Epoch 35: Train Dice Loss=0.3346
Epoch 36: Train Dice Loss=0.3328
Epoch 37: Train Dice Loss=0.3246
Epoch 38: Train Dice Loss=0.3082
Epoch 39: Train Dice Loss=0.3163
Epoch 40: Train Dice Loss=0.3096
Epoch 41: Train Dice Loss=0.3029
Epoch 42: Train Dice Loss=0.3112
Epoch 43: Train Dice Loss=0.3054
Epoch 44: Train Dice Loss=0.2902
Epoch 45: Train Dice Loss=0.2920
Epoch 46: Train Dice Loss=0.3031
Epoch 47: Train Dice Loss=0.3182
Epoch 48: Train Dice Loss=0.2978
Epoch 49: Train Dice Loss=0.2778
Epoch 50: Train Dice Loss=0.2813
Saved results for Linknet with augmentation x4
