=================================
Running configuration:
Model: FPN
Aug Multiplier: 4
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313225_23
Train size after augmentation: 7332
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7516
Epoch 2: Train Dice Loss=0.7505
Epoch 3: Train Dice Loss=0.7480
Epoch 4: Train Dice Loss=0.7258
Epoch 5: Train Dice Loss=0.6560
Epoch 6: Train Dice Loss=0.6005
Epoch 7: Train Dice Loss=0.5746
Epoch 8: Train Dice Loss=0.5419
Epoch 9: Train Dice Loss=0.5272
Epoch 10: Train Dice Loss=0.5118
Epoch 11: Train Dice Loss=0.5014
Epoch 12: Train Dice Loss=0.4913
Epoch 13: Train Dice Loss=0.4888
Epoch 14: Train Dice Loss=0.4777
Epoch 15: Train Dice Loss=0.4679
Epoch 16: Train Dice Loss=0.4634
Epoch 17: Train Dice Loss=0.4564
Epoch 18: Train Dice Loss=0.4454
Epoch 19: Train Dice Loss=0.4424
Epoch 20: Train Dice Loss=0.4358
Epoch 21: Train Dice Loss=0.4294
Epoch 22: Train Dice Loss=0.4268
Epoch 23: Train Dice Loss=0.4131
Epoch 24: Train Dice Loss=0.4079
Epoch 25: Train Dice Loss=0.3979
Epoch 26: Train Dice Loss=0.3902
Epoch 27: Train Dice Loss=0.3797
Epoch 28: Train Dice Loss=0.3746
Epoch 29: Train Dice Loss=0.3709
Epoch 30: Train Dice Loss=0.3612
Epoch 31: Train Dice Loss=0.3568
Epoch 32: Train Dice Loss=0.3398
Epoch 33: Train Dice Loss=0.3336
Epoch 34: Train Dice Loss=0.3301
Epoch 35: Train Dice Loss=0.3301
Epoch 36: Train Dice Loss=0.3218
Epoch 37: Train Dice Loss=0.3082
Epoch 38: Train Dice Loss=0.3066
Epoch 39: Train Dice Loss=0.3047
Epoch 40: Train Dice Loss=0.2955
Epoch 41: Train Dice Loss=0.2902
Epoch 42: Train Dice Loss=0.2849
Epoch 43: Train Dice Loss=0.2818
Epoch 44: Train Dice Loss=0.2760
Epoch 45: Train Dice Loss=0.2726
Epoch 46: Train Dice Loss=0.2810
Epoch 47: Train Dice Loss=0.2764
Epoch 48: Train Dice Loss=0.2788
Epoch 49: Train Dice Loss=0.2598
Epoch 50: Train Dice Loss=0.2555
Saved results for FPN with augmentation x4
