=================================
Running configuration:
Model: PSPNet
Aug Multiplier: 1
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313227_25
Train size after augmentation: 1833
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7495
Epoch 2: Train Dice Loss=0.7310
Epoch 3: Train Dice Loss=0.7130
Epoch 4: Train Dice Loss=0.6957
Epoch 5: Train Dice Loss=0.6806
Epoch 6: Train Dice Loss=0.6654
Epoch 7: Train Dice Loss=0.6445
Epoch 8: Train Dice Loss=0.6272
Epoch 9: Train Dice Loss=0.6154
Epoch 10: Train Dice Loss=0.6016
Epoch 11: Train Dice Loss=0.5724
Epoch 12: Train Dice Loss=0.5676
Epoch 13: Train Dice Loss=0.5582
Epoch 14: Train Dice Loss=0.5490
Epoch 15: Train Dice Loss=0.5426
Epoch 16: Train Dice Loss=0.5207
Epoch 17: Train Dice Loss=0.5111
Epoch 18: Train Dice Loss=0.5031
Epoch 19: Train Dice Loss=0.4997
Epoch 20: Train Dice Loss=0.4832
Epoch 21: Train Dice Loss=0.4737
Epoch 22: Train Dice Loss=0.4658
Epoch 23: Train Dice Loss=0.4532
Epoch 24: Train Dice Loss=0.4424
Epoch 25: Train Dice Loss=0.4310
Epoch 26: Train Dice Loss=0.4374
Epoch 27: Train Dice Loss=0.4137
Epoch 28: Train Dice Loss=0.4100
Epoch 29: Train Dice Loss=0.4074
Epoch 30: Train Dice Loss=0.3993
Epoch 31: Train Dice Loss=0.3896
Epoch 32: Train Dice Loss=0.3805
Epoch 33: Train Dice Loss=0.3777
Epoch 34: Train Dice Loss=0.3617
Epoch 35: Train Dice Loss=0.3541
Epoch 36: Train Dice Loss=0.3675
Epoch 37: Train Dice Loss=0.3592
Epoch 38: Train Dice Loss=0.3490
Epoch 39: Train Dice Loss=0.3404
Epoch 40: Train Dice Loss=0.3520
Epoch 41: Train Dice Loss=0.3401
Epoch 42: Train Dice Loss=0.3316
Epoch 43: Train Dice Loss=0.3369
Epoch 44: Train Dice Loss=0.3295
Epoch 45: Train Dice Loss=0.3197
Epoch 46: Train Dice Loss=0.3057
Epoch 47: Train Dice Loss=0.3036
Epoch 48: Train Dice Loss=0.3017
Epoch 49: Train Dice Loss=0.2993
Epoch 50: Train Dice Loss=0.2982
Saved results for PSPNet with augmentation x1
