=================================
Running configuration:
Model: Unet
Aug Multiplier: 4
=================================
Using MIOpen cache at: /scratch/project_465002351/jainsany/miopen_16313205_3
Train size after augmentation: 7332
Validation size (unchanged): 521
Test size (unchanged): 261
Epoch 1: Train Dice Loss=0.7109
Epoch 2: Train Dice Loss=0.6233
Epoch 3: Train Dice Loss=0.5665
Epoch 4: Train Dice Loss=0.5357
Epoch 5: Train Dice Loss=0.5147
Epoch 6: Train Dice Loss=0.5033
Epoch 7: Train Dice Loss=0.4958
Epoch 8: Train Dice Loss=0.4919
Epoch 9: Train Dice Loss=0.4774
Epoch 10: Train Dice Loss=0.4688
Epoch 11: Train Dice Loss=0.4639
Epoch 12: Train Dice Loss=0.4572
Epoch 13: Train Dice Loss=0.4503
Epoch 14: Train Dice Loss=0.4460
Epoch 15: Train Dice Loss=0.4418
Epoch 16: Train Dice Loss=0.4331
Epoch 17: Train Dice Loss=0.4311
Epoch 18: Train Dice Loss=0.4274
Epoch 19: Train Dice Loss=0.4237
Epoch 20: Train Dice Loss=0.4143
Epoch 21: Train Dice Loss=0.4118
Epoch 22: Train Dice Loss=0.4066
Epoch 23: Train Dice Loss=0.3999
Epoch 24: Train Dice Loss=0.4081
Epoch 25: Train Dice Loss=0.3957
Epoch 26: Train Dice Loss=0.3967
Epoch 27: Train Dice Loss=0.3859
Epoch 28: Train Dice Loss=0.3925
Epoch 29: Train Dice Loss=0.3830
Epoch 30: Train Dice Loss=0.3790
Epoch 31: Train Dice Loss=0.3808
Epoch 32: Train Dice Loss=0.3655
Epoch 33: Train Dice Loss=0.3657
Epoch 34: Train Dice Loss=0.3646
Epoch 35: Train Dice Loss=0.3613
Epoch 36: Train Dice Loss=0.3535
Epoch 37: Train Dice Loss=0.3489
Epoch 38: Train Dice Loss=0.3430
Epoch 39: Train Dice Loss=0.3466
Epoch 40: Train Dice Loss=0.3329
Epoch 41: Train Dice Loss=0.3289
Epoch 42: Train Dice Loss=0.3455
Epoch 43: Train Dice Loss=0.3288
Epoch 44: Train Dice Loss=0.3293
Epoch 45: Train Dice Loss=0.3124
Epoch 46: Train Dice Loss=0.3187
Epoch 47: Train Dice Loss=0.3190
Epoch 48: Train Dice Loss=0.3094
Epoch 49: Train Dice Loss=0.3062
Epoch 50: Train Dice Loss=0.2961
Saved results for Unet with augmentation x4
